degree,count
0,328090
1,162348
2,104981
3,75127
4,56182
5,44127
6,34973
7,28551
8,23234
9,19174
10,16135
11,13376
12,11476
13,9637
14,8286
15,7077
16,37326
17,643
18,340
19,238
20,210
21,200
22,185
23,174
24,190
25,156
26,161
27,164
28,172
29,188
30,138
31,147
32,126
33,152
34,139
35,154
36,133
37,137
38,133
39,130
40,129
41,130
42,139
43,122
44,137
45,100
46,113
47,120
48,131
49,119
50,112
51,107
52,111
53,126
54,135
55,103
56,107
57,68
58,93
59,98
60,86
61,99
62,93
63,86
64,12826
