degree,count
0,345327
1,167453
2,106232
3,75063
4,55577
5,43251
6,33819
7,27059
8,22185
9,17757
10,14819
11,12236
12,10369
13,8500
14,7225
15,5876
16,29301
17,500
18,291
19,199
20,189
21,190
22,169
23,160
24,170
25,134
26,148
27,153
28,164
29,173
30,127
31,134
32,15050
