degree,count
0,334148
1,164265
2,105558
3,74932
4,56107
5,43810
6,34799
7,27851
8,23031
9,18592
10,15606
11,13014
12,11028
13,9342
14,7838
15,6575
16,5537
17,4813
18,4058
19,3555
20,3079
21,2499
22,2144
23,1878
24,1578
25,1394
26,1165
27,1067
28,911
29,775
30,626
31,591
32,17834
